business_id,PID
QXAEGFB4oINsVuTFxEYKFQ,123
fcXOEZdXYeZqnQ3lGlOXmg,147
f2ZWZPENViL92BrFsIgR6w,123
YK8aOugv9mLrzBgJKP9biA,123
T1wOVzpUF5vwYVmBrxALPg,120
8Wm2NMAoukBC2wQR49E4ng,120
8HAsNLoSr3xi5rwQretp3w,123
b01JHXXVU9XuUuFMGWDMJw,120
JGM-SxW_vayu0fBch-U2FQ,123
GWCd4xlTdOwcaaSSu9b9XQ,123
OshRlnBMt5r5UNThEdxMRA,150
omfSvRsQVhJkU_yB8udhIw,120
N0Tk9ORpX-gtbPNR0WoznQ,147
UlEPHgzjvPAD-un_m-5_fA,120
9g_M8wrG7-XFlJxIVYV4hw,120
U7by1vfecuy6qF8-F4F-MQ,120
rsiW1dz9FD1EfNPoDfaDDQ,147
LHOa9n7JQCGgnMoA1NDbbw,120
fnH1vGokCyM7rxAEOR-R0g,120
k8kkV12YXfjVvl29sCz6ug,120
uD1dQcPeYIkAPqjzQ79MrQ,120
5O7qB4gNmr3NgdYAuYbP4Q,123
gfeCCBFK1b3SMsb_7dTrOA,123
MKoywyAQ5zZdmaNP_OAiTA,120
C42C5Bbw4zRQ03odfQcdiQ,120
kVXyz0mYd7NaGuGdM_VMeQ,147
_4XNJwfU8UXjuwz1a7UZvA,123
dhh3jjlfjv9lUlWqR6wsdg,120
C4i2eiTMv11bYqDmFgl6Tg,120
FIniYLsXj83zEwjFvPjDpw,120
W4sUcmp8VDB_RMgj9ps0yg,120
isVcTrHOiPy0OYF7OTxNzA,201
U8mNpPrXO6P3VGdUj9dFbQ,201
BDCSaCKVEuQNtfgayiqbUg,120
SH1c1aFJl0uHVnVPEF-fTA,123
PVk7KKTlWRygSF6dExWYCg,123
wFGsC5Bgi6_Tbr4gvORCYw,120
8jOJmMw6Vfn8ug1nZstH3A,120
ckdGk8ForF9zEczmu4-tTA,123
KfuHr7dYyEaDrHtQpFdNUw,123
LH-_iinkV1XOxSuJMBqhmw,123
yMtZDKeiEmwrC_HjIX9KAQ,147
PsatZ8lzKEXOc_hImnYNNA,120
foezb6XCQ2_bWLd2M5LICA,120
3UuJEvESJPdOKK1-pOTxVw,228
rjlAUHT8B6KhKAmkZqS1xw,123
ElXjpNKzkJpSpyIDp1TRjA,123
-Fg5j5-rNdp5Hc1rmA5hkQ,120
7rhpcW25cZWuDL9mn1usKA,123
fqMAnoS2sTokz6lqBSmoCw,150
86Cq7KrcFUo1LGtNORfo1w,147
emyCP3Ry2SbpNrwRAtm9PQ,147
EJMrzeE8fraZGiNvdPzsnQ,123
0k_Ax1rXz2lq6p2OThlOUQ,123
vtkJXE_Vdz27rWm6mfAw6Q,123
pRwh3BEM-dhixAGJl_TgUA,147
4RFiHQ5-p3mR5RHFQh0PfA,123
h36qA5gnNTgByhxWx1aH-Q,147
0Ovh4Vn9ntMt5Ara-ZP2sA,120
VJWPjxk4Tkndx_3xYwnlag,120
KHqij5fQzVasYs2Q9mDddg,120
8U9nnnInBAvQLaX5LHrJ0g,120
kCKoqZs-YVQAZWXoUNNKYg,120
RnyuG8Ngt1rr3mFD3oYicw,123
tCbGpGg5VMzH5RBp4Hc-LA,201
o7Rs_g6oszeB5aCQUHuOXw,201
kf0GKon8PJVYptGO9tiiwQ,123
dj7jcvkitQAaRGvdOaoKZQ,123
5boyzDquXG28SgtZDa9QOA,123
sApYXhH4rWwZGTz_vkqstg,123
YhG4LHvgKvyLqzjvfbfZKA,120
hoGI9US9FN-PJpMX66reMQ,123
d09Vmq6yDqFvtGooyfid_g,150
wtDLILBaj5BGEbYvWGfNUw,123
49JTxfrT4BnROuk9_RIW6w,120
CHVoy7YsDnVYjNJKtJw3pw,120
P1toOu4A_i3J8NxUJamvZg,120
y1AM7MeCN3HaS7SHnxcBfQ,147
1RJqFVKWm_xMqQ4WcURFSA,120
liGn7sPOvUuy3kcwbhRkbA,201
_fmGmAJY2jXDRYZ9tEOLoA,120
TKcq0hOqesiDOwQb-ZwFAw,123
sEIYwtCebPe9QZJfEQ5Pdg,123
JsDZw4xmCHxYYKoVKH8aUw,123
OzvylR24DyxkdEbLNhQdnQ,120
-1oGM0x0i7I88C9g9w8XUw,120
vMsIy9yIbmIwR9s4q_ESxA,123
E8Ejw_6hADwPdkZqkAW9jA,123
PgOdMAyiYTkBgDgdu6DQEQ,147
v0oHkLaA7cI9os6VZu6NZQ,120
1d8W14H2HxVk4Ch2OnG_og,120
kgKDvKIktdBpE6OozQuwOQ,120
A7gVn077Eb2B-yIKunLVpw,123
x-yv0YJrE-BxFAHADsnPyQ,120
Oxz7xIKw2iJhxU-V_jpX7A,147
Qi2vOSs7AIeen_zrWt6WDA,123
tV55j29ItCXeq4RnGXaDSg,120
7B9hJ3bVtN7xiMc3wO8gqA,230
nHEoPDe6ziMxlaLfGAbqng,120
MBekdd_f7S1ezEzZb3o_ZA,123
S9Pe1o4-hw01i1G37g1JMg,120
HNQzWfhR8kIgTsoxLKCcSw,120
67XSUoXRC4XHk7kYccp1Ig,120
F8faeZhtFmBskuW4f-FF2w,147
_NA8hAIn30R-25KucMZsvA,123
SbvcKjiRv1_nWN2XHcgSfQ,147
UcRWRgBWy4-RyeqLS8hLhg,147
IRpZS7EmmBeSM7oBnDd5iw,123
PM6nMLKgCPsW-1ukrbnDvg,123
vgkAu9BO8h7oorDWZziMXA,147
bLj48B_hrSuCUvK9mo-MOA,123
YH8Bn-7pLR-SFR8MCgQj1w,147
jyNB5Oh4CxA0b3gjGYFt1Q,120
lGTZWahMoXRpGoftnt-T0w,147
BDgEBbNWm6rKLb6JArc3xw,123
0h-6IpJvApd2i97_KwCR4g,123
b0cz_E52RTaP6ouIK6fEJQ,123
odfX0wO7fOyqa8oobxh96w,147
qeQDbldV5n-wUu9zflp01w,123
